alpha,resolution,modularity_avg,modularity_std,nmi_avg,nmi_std,ari_avg,ari_std
0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.6,0.12518897579362673,0.04172965859787558,0.9,0.30000000000000004,0.9,0.30000000000000004
0.1,0.7,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.1,0.8,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.1,0.9,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.1,1.0,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.1,1.1,0.09554813924064323,0.0013502293199744995,0.48545025231313854,0.013136908404311625,0.2488064303554609,0.012698355406327692
0.1,1.2,0.08378630642547981,0.00041288740689411656,0.3660174012671838,0.003106452173725899,0.1570212326449761,0.001706525103610809
0.1,1.3,0.07964600923715254,0.00017650523974645314,0.3226828446478716,0.0015128602446348824,0.1374407134501911,0.0005757186786242322
0.1,1.4,0.07721811796937735,9.294476072249424e-05,0.297885914200848,0.001066867992067217,0.129374204442394,0.00030008254905044705
0.1,1.5,0.07580065541971247,0.00011318319187279809,0.28298451773368216,0.00071210492385701,0.12563604673790899,0.0001685805120840632
0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.6,0.11127908959433488,0.05563954479716744,0.8,0.4,0.8,0.4
0.2,0.7,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.2,0.8,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.2,0.9,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.2,1.0,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.2,1.1,0.09633865184592488,0.001546095336002418,0.4962925659147652,0.015018865531030677,0.25952958887417904,0.015049281906425432
0.2,1.2,0.08372960262446809,0.00048798711250033555,0.36589077639392775,0.003973036958804747,0.15703324790834508,0.001807790772978583
0.2,1.3,0.07973790446982149,0.0002152228917934445,0.32390189622199533,0.0017086042731086577,0.1378946366555649,0.0006445288011206357
0.2,1.4,0.07732213015622949,0.00012977991533563897,0.2989151917480507,0.0008671041534025343,0.1296756790485337,0.00022642616199335434
0.2,1.5,0.07577334597093605,0.0002003871108764262,0.28290953223033083,0.001331418709015364,0.12558895319361602,0.0002899162662850057
0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.6,0.12518897579362673,0.04172965859787558,0.9,0.30000000000000004,0.9,0.30000000000000004
0.3,0.7,0.12518897579362673,0.04172965859787558,0.9,0.30000000000000004,0.9,0.30000000000000004
0.3,0.8,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.3,0.9,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.3,1.0,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.3,1.1,0.09518367213178328,0.0014393981986304536,0.48585927135810286,0.01653401316359126,0.24894136961302596,0.01583956144202559
0.3,1.2,0.08403817461646958,0.00026978220083115486,0.3684541269800411,0.0023179149397445646,0.15838139847328989,0.00126209969101758
0.3,1.3,0.07966525497016705,0.00021725995364470555,0.3242226229198778,0.0012068459784524816,0.137903000315216,0.0005312208990475341
0.3,1.4,0.07729894664001273,0.00012942925911564246,0.29842365272257193,0.0008719059112557822,0.12953457021872142,0.0002831452404723888
0.3,1.5,0.07577764193094284,9.836482553489317e-05,0.2830417218093969,0.000739982330048745,0.12561860545751274,0.0001666092264043454
0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.6,0.11127908959433488,0.055639544797167435,0.8,0.4,0.8,0.4
0.4,0.7,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.4,0.8,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.4,0.9,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.4,1.0,0.1390988619929186,0.0,1.0,0.0,1.0,0.0
0.4,1.1,0.09616717875373171,0.0016338246251464928,0.5012487791252145,0.016010078270917324,0.2631944000754832,0.015281393777143564
0.4,1.2,0.08378697363795654,0.0004057210372485589,0.3677264972021521,0.0039687681775501926,0.15798285074571014,0.0020904985845583745
0.4,1.3,0.079760817549186,0.00024078870786684584,0.32423273002997843,0.0020929145276890786,0.13796032192683488,0.000780712638855756
0.4,1.4,0.07734713354385717,0.00016928748135624274,0.29910270727821386,0.0011060393835258097,0.12972810546602417,0.0003118884564270971
0.4,1.5,0.07565301474451129,0.00011931845342369067,0.28226865267436213,0.0008610171527808473,0.12548757806574348,0.00017330236575067388
0.5,0.5,-7.992992110842867e-07,1.4951978549612402e-06,0.00039072758589958926,0.0008997471102885694,-0.0001252480337197503,0.001156897371216868
0.5,0.6,0.0820178205736144,0.06697520184792331,0.5772979032468262,0.47158266709298596,0.5911669025975351,0.4827286083494749
0.5,0.7,0.13540919738588425,0.0033531785060084323,0.9461637956885534,0.04145829413001761,0.975734662453781,0.022174482424503747
0.5,0.8,0.13497688406404834,0.003372964215371702,0.9431192034536272,0.0393528117391326,0.9739784343627733,0.022135805029039692
0.5,0.9,0.13375821456425352,0.00495949860936358,0.9256096790601218,0.056950939316103656,0.9636312981659326,0.03112300223169872
0.5,1.0,0.13741938301125628,0.0021787460954119917,0.9716687955552029,0.0355280792295987,0.9876816522094518,0.015556721437179465
0.5,1.1,0.09549220746505266,0.002235062715034868,0.49761875408378,0.02505066490560726,0.2612123583203352,0.024655818545424393
0.5,1.2,0.08392028143522709,0.0003385280098927417,0.3687234465748694,0.002314125895294772,0.1584835676473471,0.0011707983149785552
0.5,1.3,0.07976980427296745,0.00024395282345843016,0.32452316416403904,0.001804138544203435,0.13809396826783332,0.0006399217157324092
0.5,1.4,0.07727187026113128,0.00012215499589080108,0.298786879266337,0.0011947004887066148,0.12967315874161373,0.0003681293457221252
0.5,1.5,0.07558491954547089,0.00010243902085643141,0.28197099671356185,0.0008671525634717872,0.12537876698155723,0.0001794284298523451
0.6,0.5,1.5963138071449215e-07,3.094909689316264e-06,0.0018642163867740146,0.0023799850019996208,5.527310748458048e-05,0.003087769964161773
0.6,0.6,0.04081783527322068,0.062351348032354204,0.2880700587006526,0.43978730854375797,0.294823780446135,0.45074150840113036
0.6,0.7,0.13553895602687943,0.002682419934371854,0.9476610150385065,0.03385064483273995,0.9771327510363637,0.016831049560283876
0.6,0.8,0.1345225248426763,0.0038217021649416556,0.9281761949914575,0.0522508325574617,0.9648763431503827,0.031902690556073095
0.6,0.9,0.13356500027202875,0.005347392174121892,0.9140293987065385,0.07139757118497032,0.9557732710615113,0.04774707440526921
0.6,1.0,0.13363074855003823,0.0032261695190681007,0.9162076185494108,0.0359224633466531,0.960877747740545,0.01947430665569241
0.6,1.1,0.09561705421607826,0.0017177353874966632,0.5008610635284634,0.01875741138621271,0.26368749266385216,0.01882285238023345
0.6,1.2,0.08370223578918594,0.00046723697205635224,0.36647943201222877,0.004595783137056159,0.15734390429613584,0.0024031320086165737
0.6,1.3,0.07967601134217069,0.00017648386915869641,0.32354730469022364,0.0014286480425086791,0.13775942775113456,0.0005175698339873283
0.6,1.4,0.0773032713461291,0.00020091648814638766,0.29896369710311893,0.0013291795942190084,0.1297191524670624,0.00036072980007414724
0.6,1.5,0.07560681031575851,8.776933102982988e-05,0.2819924719632376,0.000865505260738,0.125412156644034,0.00019721687371732348
0.7,0.5,-4.900310240638365e-08,1.4700930721915092e-07,0.00029643537990404085,0.0008893061397121225,0.00021414858271114246,0.0006424457481334273
0.7,0.6,0.08166103433496355,0.06669172414869297,0.5766446269274276,0.4710385293988689,0.5902808649830774,0.48200663157926
0.7,0.7,0.12262417789055602,0.040901843186589924,0.8651832537589883,0.2888804401062509,0.8861556025727406,0.2954835915188703
0.7,0.8,0.1355099506011837,0.0031013404118475202,0.945226679785713,0.04480190818829609,0.9740428764743623,0.024720660875846047
0.7,0.9,0.13560632562895883,0.002193468486879399,0.9485841341529454,0.030248310816717184,0.9771395901748772,0.016198042224061633
0.7,1.0,0.1355573319829661,0.0014388234829550949,0.9385773290497316,0.02677944334519997,0.9721955738973778,0.015442610055226815
0.7,1.1,0.09172166009689027,0.0023058908139136623,0.47022686255041946,0.02350620931292779,0.24642460589583431,0.01961794428907532
0.7,1.2,0.08398917541504461,0.0004806140471584113,0.36890405837345275,0.0029148984191478162,0.15864967883353798,0.001308182609247986
0.7,1.3,0.07967291838834942,0.0001601239066977475,0.32376845648873764,0.0011613784552588272,0.1378294171046878,0.0005355835031485126
0.7,1.4,0.07715127702452888,8.854362134699981e-05,0.29784424903000206,0.0007634159346678775,0.1294133168197194,0.00023089617075302667
0.7,1.5,0.07568689121070143,9.232029096403982e-05,0.282670708449866,0.0008140497269376226,0.12555659355577825,0.00016597852928607157
0.8,0.5,2.864650068112787e-06,6.875412552178503e-06,0.000530472494040422,0.00106363309691238,-0.0003734465129752369,0.0018167269573938795
0.8,0.6,0.10806036781060784,0.054062479220437165,0.7619641544965322,0.38138954956263427,0.7838086634343384,0.39199542943736737
0.8,0.7,0.12139396214228249,0.0407159998667064,0.8450070591783568,0.2880219612080837,0.8731325173902619,0.2933920571531241
0.8,0.8,0.13555305574974186,0.0019925496654012082,0.9425834011337717,0.033821398277945204,0.9739634115570406,0.018173230225983873
0.8,0.9,0.1350971493951321,0.0024275632580572594,0.9371785931039847,0.032231209667725885,0.9718930467610216,0.016903803547946232
0.8,1.0,0.135142875731905,0.003420897242158693,0.9367496094341053,0.05165737415577126,0.969173792625383,0.028882553667501733
0.8,1.1,0.0909158449455052,0.002106861664438646,0.46522636075250057,0.020553605096476735,0.24582299744165823,0.013808124380797303
0.8,1.2,0.08067241722366947,0.0018901193720008392,0.3493470595501168,0.015291520381998734,0.15200051007275503,0.006732270441712128
0.8,1.3,0.07953553006188778,0.00023178975672824575,0.32301865326368884,0.0015618647837016292,0.13749629837635235,0.0005522185678115753
0.8,1.4,0.07716505172817781,0.0001325431696364349,0.29829921118897473,0.0012725619052024564,0.12953353769202386,0.0003723646865922646
0.8,1.5,0.07549989625703155,0.00019603895504137557,0.28159097531468047,0.0012152165547551549,0.12534449461263047,0.0002765534628156207
0.9,0.5,2.2595779149082814e-07,7.808866100035699e-07,0.0005671690619041376,0.0010290277270305337,0.00034323018017339447,0.001399079994092462
0.9,0.6,0.0818496381412579,0.06684099460462237,0.5742083164466628,0.46826076891235985,0.588327634652187,0.4814929268244473
0.9,0.7,0.13582555583254954,0.0028433625739290283,0.958846645215182,0.025165928410457065,0.9826420063097914,0.012882108998140986
0.9,0.8,0.13223391167673487,0.008313365342814344,0.9196618728588886,0.07659224877662739,0.9575545018924542,0.04825991897527616
0.9,0.9,0.1366125729357751,0.0019266861093108656,0.9569976160405365,0.03031843766003741,0.9818221110703185,0.015667484049793883
0.9,1.0,0.1351963834137468,0.0031335234180361613,0.9382960959943766,0.0496649026360407,0.9702846547546734,0.029134149862454394
0.9,1.1,0.09015613062535899,0.0022396710309682084,0.45390597330902205,0.025470461229456176,0.24003357005890544,0.018540879730891743
0.9,1.2,0.0807882290538076,0.0018207319400125046,0.3543612889843338,0.013634342652642805,0.1547472093817929,0.00575982842985948
0.9,1.3,0.07576874306104323,0.0020425179802013764,0.30676457301329074,0.010857945719309649,0.13074011083910375,0.005235250476531351
0.9,1.4,0.07446766858512563,0.001070230589185063,0.28778494689765555,0.004823190452391996,0.12431472428915431,0.0026085865105037955
0.9,1.5,0.07283626467619687,0.0008231916035337139,0.27075963426319416,0.004405865169627919,0.11981855862024586,0.0021434394874009924
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6,0.08157373886817158,0.06661104551744487,0.5772915234217203,0.4713936960786246,0.5905644955713857,0.4822022879047542
1.0,0.7,0.13612428976261842,0.0018515623579116582,0.9502313368067741,0.03483382850965889,0.9777741925543216,0.01921083988615369
1.0,0.8,0.1358392353757662,0.0020583968153715143,0.9499009133055812,0.031244033754671604,0.9774532886860658,0.017512917578825324
1.0,0.9,0.13529206571760216,0.0020851704548030033,0.9412317887054014,0.030554432041021748,0.9747932162841624,0.015702671514820108
1.0,1.0,0.1368850463270383,0.001657803369237132,0.9621296022324083,0.021845685140405184,0.9841186835549083,0.009830378330307511
1.0,1.1,0.08949621067865403,0.0025251666694037366,0.44906527630503223,0.023380530319032308,0.2382410139182214,0.018782790808951882
1.0,1.2,0.08031488994349048,0.0014773477785632655,0.350874171382476,0.00792664607022053,0.1530812189183579,0.003176461430993742
1.0,1.3,0.07540503067374073,0.001846567428127766,0.3073558544039836,0.009864989194426198,0.13058513110058015,0.005052093793762964
1.0,1.4,0.07483479372305533,0.001273903369188871,0.29002506698448255,0.005594884415986627,0.12574864132961097,0.002653305122867221
1.0,1.5,0.07308282097842853,0.0008025370029312146,0.27277208158604954,0.0031248337475313385,0.12069354018858607,0.0016791789959528026
